Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,0,0,0,24033
1,1,0,0,0,24033
2,2,0,0,0,24033
3,3,0,0,0,24033
4,4,0,0,0,24033
5,5,0,0,0,24033
6,6,0,0,0,24033
7,7,0,0,0,24033
8,8,0,0,0,24033
9,9,0,0,0,24033
10,10,0,0,0,24033
11,11,0,0,0,24033
12,12,0,0,0,24033
13,13,0,0,0,24033
14,14,0,0,0,24033
15,15,0,0,0,24033
16,16,0,0,0,24033
17,17,0,0,0,24033
18,18,0,0,0,24033
19,19,0,0,0,24033
20,20,0,0,0,24033
21,21,0,0,0,24033
22,22,0,0,0,24033
23,23,0,0,0,24033
24,24,0,0,0,24033
25,25,0,0,0,24033
26,26,0,0,0,24033
27,27,0,0,0,24033
28,28,0,0,0,24033
29,29,0,0,0,24033
30,30,0,0,0,24033
31,31,0,0,0,24033
32,32,0,0,0,24033
33,33,0,0,0,24033
34,34,0,0,0,24033
35,35,0,0,0,24033
36,36,0,0,0,24033
37,37,0,0,0,24033
38,38,0,0,0,24033
39,39,0,0,0,24033
40,40,0,0,0,24033
41,41,0,0,0,24033
42,42,0,0,0,24033
43,43,0,0,0,24033
44,44,0,0,0,24033
45,45,0,0,0,24033
46,46,0,0,0,24033
47,47,0,0,0,24033
48,48,0,0,0,24033
49,49,0,0,0,24033
50,50,0,0,0,24033
51,51,0,0,0,24033
52,52,0,0,0,24033
53,53,0,0,0,24033
54,54,0,0,0,24033
55,55,0,0,0,24033
56,56,0,0,0,24033
57,57,0,0,0,24033
58,58,0,0,0,24033
59,59,0,0,0,24033
60,60,0,0,0,24033
61,61,0,0,0,24033
62,62,0,0,0,24033
63,63,0,0,0,24033
64,64,0,0,0,24033
65,65,0,0,0,24033
66,66,0,0,0,24033
67,67,0,0,0,24033
68,68,0,0,0,24033
69,69,0,0,0,24033
70,70,0,0,0,24033
71,71,0,0,0,24033
72,72,0,0,0,24033
73,73,0,0,0,24033
74,74,0,0,0,24033
75,75,0,0,0,24033
76,76,0,0,0,24033
77,77,0,0,0,24033
78,78,0,0,0,24033
79,79,0,0,0,24033
80,80,0,0,0,24033
81,81,0,0,0,24033
82,82,0,0,0,24033
83,83,0,0,0,24033
84,84,0,1,0,24033
85,85,0,0,0,24033
86,86,0,0,0,24033
87,87,0,0,0,24033
88,88,0,0,0,24033
89,89,0,0,0,24033
90,90,0,0,0,24033
91,91,0,0,0,24033
92,92,0,0,0,24033
93,93,0,0,0,24033
94,94,0,0,0,24033
95,95,0,0,0,24033
96,96,0,0,0,24033
97,97,0,0,0,24033
98,98,0,0,0,24033
99,99,0,0,0,24033
100,100,0,0,0,24033
101,101,0,0,0,24033
102,102,0,0,0,24033
103,103,0,0,0,24033
104,104,0,0,0,24033
105,105,0,0,0,24033
106,106,0,0,0,24033
107,107,0,0,0,24033
108,108,0,0,0,24033
109,109,0,0,0,24033
110,110,0,0,0,24033
111,111,0,0,0,24033
112,112,0,0,0,24033
113,113,0,0,0,24033
114,114,0,0,0,24033
115,115,0,0,0,24033
116,116,0,0,0,24033
117,117,0,0,0,24033
118,118,0,0,0,24033
119,119,0,0,0,24033
120,120,0,0,0,24033
121,121,0,0,0,24033
122,122,0,0,0,24033
123,123,0,0,0,24033
124,124,0,0,0,24033
125,125,0,0,0,24033
126,126,0,0,0,24033
127,127,0,0,0,24033
128,128,0,0,0,24033
129,129,0,0,0,24033
130,130,0,0,0,24033
131,131,0,0,0,24033
132,132,0,0,0,24033
133,133,0,0,0,24033
134,134,0,0,0,24033
135,135,0,0,0,24033
136,136,0,0,0,24033
137,137,0,0,0,24033
138,138,0,0,0,24033
139,139,0,0,0,24033
140,140,0,0,0,24033
141,141,0,0,0,24033
142,142,0,0,0,24033
143,143,0,0,0,24033
144,144,0,0,0,24033
145,145,0,0,0,24033
146,146,0,0,0,24033
147,147,0,0,0,24033
148,148,0,0,0,24033
149,149,0,0,0,24033
150,150,0,0,0,24033
151,151,0,0,0,24033
152,152,0,0,0,24033
153,153,0,0,0,24033
