Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,0,0,0,19418
1,1,0,0,0,19418
2,2,0,0,0,19418
3,3,0,0,0,19418
4,4,0,0,0,19418
5,5,0,0,0,19418
6,6,0,0,0,19418
7,7,0,0,0,19418
8,8,0,0,0,19418
9,9,0,0,0,19418
10,10,0,0,0,19418
11,11,0,0,0,19418
12,12,0,0,0,19418
13,13,0,0,0,19418
14,14,0,0,0,19418
15,15,0,0,0,19418
16,16,0,0,0,19418
17,17,0,0,0,19418
18,18,0,0,0,19418
19,19,0,0,0,19418
20,20,0,0,0,19418
21,21,0,0,0,19418
22,22,0,0,0,19418
23,23,0,0,0,19418
24,24,0,0,0,19418
25,25,0,0,0,19418
26,26,0,0,0,19418
27,27,0,0,0,19418
28,28,0,0,0,19418
29,29,0,0,0,19418
30,30,0,0,0,19418
31,31,0,0,0,19418
32,32,0,0,0,19418
33,33,0,0,0,19418
34,34,0,0,0,19418
35,35,0,0,0,19418
36,36,0,0,0,19418
37,37,0,0,0,19418
38,38,0,0,0,19418
39,39,0,0,0,19418
40,40,0,0,0,19418
41,41,0,0,0,19418
42,42,0,0,0,19418
43,43,0,0,0,19418
44,44,0,0,0,19418
45,45,0,0,0,19418
46,46,0,0,0,19418
47,47,0,0,0,19418
48,48,0,0,0,19418
49,49,0,0,0,19418
50,50,0,0,0,19418
51,51,0,0,0,19418
52,52,0,0,0,19418
53,53,0,0,0,19418
54,54,0,0,0,19418
55,55,0,0,0,19418
56,56,0,0,0,19418
57,57,0,0,0,19418
58,58,0,0,0,19418
59,59,0,0,0,19418
60,60,0,0,0,19418
61,61,0,0,0,19418
62,62,0,0,0,19418
63,63,0,0,0,19418
64,64,0,0,0,19418
65,65,0,0,0,19418
66,66,0,0,0,19418
67,67,0,0,0,19418
68,68,0,0,0,19418
69,69,0,0,0,19418
70,70,0,0,0,19418
71,71,0,0,0,19418
72,72,0,0,0,19418
73,73,0,0,0,19418
74,74,0,0,0,19418
75,75,0,0,0,19418
76,76,0,0,0,19418
77,77,0,0,0,19418
78,78,0,0,0,19418
79,79,0,0,0,19418
80,80,0,0,0,19418
81,81,0,0,0,19418
82,82,0,0,0,19418
83,83,0,1,0,19418
84,84,0,1,0,19418
85,85,0,0,0,19418
86,86,0,0,0,19418
87,87,0,0,0,19418
88,88,0,0,0,19418
89,89,0,0,0,19418
90,90,0,0,0,19418
91,91,0,0,0,19418
92,92,0,0,0,19418
93,93,0,0,0,19418
94,94,0,0,0,19418
95,95,0,0,0,19418
96,96,0,0,0,19418
97,97,0,0,0,19418
98,98,0,0,0,19418
99,99,0,0,0,19418
100,100,0,0,0,19418
101,101,0,0,0,19418
102,102,0,0,0,19418
103,103,0,0,0,19418
104,104,0,0,0,19418
105,105,0,0,0,19418
106,106,0,0,0,19418
107,107,0,0,0,19418
108,108,0,0,0,19418
109,109,0,0,0,19418
110,110,0,0,0,19418
111,111,0,0,0,19418
112,112,0,0,0,19418
113,113,0,0,0,19418
114,114,0,0,0,19418
115,115,0,0,0,19418
116,116,0,0,0,19418
117,117,0,0,0,19418
118,118,0,0,0,19418
119,119,0,0,0,19418
120,120,0,0,0,19418
121,121,0,0,0,19418
122,122,0,0,0,19418
123,123,0,0,0,19418
124,124,0,0,0,19418
125,125,0,0,0,19418
126,126,0,0,0,19418
127,127,0,0,0,19418
128,128,0,0,0,19418
129,129,0,0,0,19418
130,130,0,0,0,19418
131,131,0,0,0,19418
132,132,0,0,0,19418
133,133,0,0,0,19418
134,134,0,0,0,19418
135,135,0,0,0,19418
136,136,0,0,0,19418
137,137,0,0,0,19418
138,138,0,0,0,19418
139,139,0,0,0,19418
140,140,0,0,0,19418
141,141,0,0,0,19418
142,142,0,0,0,19418
143,143,0,0,0,19418
144,144,0,0,0,19418
145,145,0,0,0,19418
146,146,0,0,0,19418
147,147,0,0,0,19418
148,148,0,0,0,19418
149,149,0,0,0,19418
150,150,0,0,0,19418
151,151,0,0,0,19418
152,152,0,0,0,19418
153,153,0,0,0,19418
154,154,0,0,0,19418
155,155,0,0,0,19418
156,156,0,0,0,19418
157,157,0,0,0,19418
158,158,0,0,0,19418
159,159,0,0,0,19418
160,160,0,0,0,19418
161,161,0,0,0,19418
162,162,0,0,0,19418
163,163,0,0,0,19418
164,164,0,0,0,19418
165,165,0,0,0,19418
166,166,0,0,0,19418
167,167,0,0,0,19418
168,168,0,0,0,19418
169,169,0,0,0,19418
170,170,0,0,0,19418
171,171,0,0,0,19418
172,172,0,0,0,19418
173,173,0,0,0,19418
174,174,0,0,0,19418
175,175,0,0,0,19418
176,176,0,0,0,19418
177,177,0,0,0,19418
178,178,0,0,0,19418
179,179,0,0,0,19418
180,180,0,0,0,19418
181,181,0,0,0,19418
182,182,0,0,0,19418
183,183,0,0,0,19418
184,184,0,0,0,19418
185,185,0,0,0,19418
186,186,0,0,0,19418
187,187,0,0,0,19418
188,188,0,0,0,19418
189,189,0,0,0,19418
190,190,0,0,0,19418
191,191,0,0,0,19418
192,192,0,0,0,19418
193,193,0,0,0,19418
194,194,0,0,0,19418
195,195,0,0,0,19418
196,196,0,0,0,19418
197,197,0,0,0,19418
198,198,0,0,0,19418
199,199,0,0,0,19418
200,200,0,0,0,19418
201,201,0,0,0,19418
202,202,0,0,0,19418
203,203,0,0,0,19418
204,204,0,0,0,19418
205,205,0,0,0,19418
206,206,0,0,0,19418
207,207,0,0,0,19418
208,208,0,0,0,19418
209,209,0,0,0,19418
210,210,0,0,0,19418
211,211,0,0,0,19418
212,212,0,0,0,19418
213,213,0,0,0,19418
214,214,0,0,0,19418
215,215,0,0,0,19418
216,216,0,0,0,19418
217,217,0,0,0,19418
218,218,0,0,0,19418
219,219,0,0,0,19418
220,220,0,0,0,19418
221,221,0,0,0,19418
222,222,0,0,0,19418
223,223,0,0,0,19418
224,224,0,0,0,19418
225,225,0,0,0,19418
226,226,0,1,0,19418
227,227,0,0,0,19418
228,228,0,0,0,19418
229,229,0,0,0,19418
230,230,0,0,0,19418
231,231,0,0,0,19418
232,232,0,0,0,19418
233,233,0,0,0,19418
234,234,0,0,0,19418
235,235,0,0,0,19418
236,236,0,0,0,19418
237,237,0,0,0,19418
238,238,0,0,0,19418
239,239,0,0,0,19418
240,240,0,0,0,19418
241,241,0,0,0,19418
242,242,0,0,0,19418
243,243,0,0,0,19418
244,244,0,0,0,19418
245,245,0,0,0,19418
246,246,0,0,0,19418
247,247,0,0,0,19418
248,248,0,0,0,19418
249,249,0,0,0,19418
250,250,0,0,0,19418
251,251,0,0,0,19418
252,252,0,0,0,19418
253,253,0,0,0,19418
254,254,0,0,0,19418
255,255,0,0,0,19418
256,256,0,0,0,19418
257,257,0,0,0,19418
258,258,0,0,0,19418
259,259,0,0,0,19418
260,260,0,0,0,19418
261,261,0,0,0,19418
262,262,0,0,0,19418
263,263,0,0,0,19418
