Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,0,0,0,7342
1,1,0,0,0,7342
2,2,0,0,0,7342
3,3,0,0,0,7342
4,4,0,0,0,7342
5,5,0,0,0,7342
6,6,0,0,0,7342
7,7,0,0,0,7342
8,8,0,0,0,7342
9,9,0,0,0,7342
10,10,0,0,0,7342
11,11,0,0,0,7342
12,12,0,0,0,7342
13,13,0,0,0,7342
14,14,0,0,0,7342
15,15,0,0,0,7342
16,16,0,0,0,7342
17,17,0,0,0,7342
18,18,0,0,0,7342
19,19,0,0,0,7342
20,20,0,0,0,7342
21,21,0,0,0,7342
22,22,0,0,0,7342
23,23,0,0,0,7342
24,24,0,0,0,7342
25,25,0,0,0,7342
26,26,0,0,0,7342
27,27,0,0,0,7342
28,28,0,0,0,7342
29,29,0,0,0,7342
30,30,0,0,0,7342
31,31,0,0,0,7342
32,32,0,0,0,7342
33,33,0,0,0,7342
34,34,0,0,0,7342
35,35,0,0,0,7342
36,36,0,0,0,7342
37,37,0,0,0,7342
38,38,0,0,0,7342
39,39,0,0,0,7342
40,40,0,0,0,7342
41,41,0,0,0,7342
42,42,0,0,0,7342
43,43,0,0,0,7342
44,44,0,0,0,7342
45,45,0,0,0,7342
46,46,0,0,0,7342
47,47,0,0,0,7342
48,48,0,0,0,7342
49,49,0,0,0,7342
50,50,0,0,0,7342
51,51,0,0,0,7342
52,52,0,0,0,7342
53,53,0,0,0,7342
54,54,0,0,0,7342
55,55,0,0,0,7342
56,56,0,0,0,7342
57,57,0,0,0,7342
58,58,0,0,0,7342
59,59,0,0,0,7342
60,60,0,0,0,7342
61,61,0,0,0,7342
62,62,0,0,0,7342
63,63,0,0,0,7342
64,64,0,0,0,7342
65,65,0,0,0,7342
66,66,0,0,0,7342
67,67,0,0,0,7342
68,68,0,0,0,7342
69,69,0,0,0,7342
70,70,0,0,0,7342
71,71,0,0,0,7342
72,72,0,0,0,7342
73,73,0,0,0,7342
74,74,0,0,0,7342
75,75,0,0,0,7342
76,76,0,0,0,7342
77,77,0,0,0,7342
78,78,0,0,0,7342
79,79,0,0,0,7342
80,80,0,0,0,7342
81,81,0,0,0,7342
82,82,0,0,0,7342
83,83,0,1,0,7342
84,84,0,1,0,7342
85,85,0,0,0,7342
86,86,0,0,0,7342
87,87,0,0,0,7342
88,88,0,0,0,7342
89,89,0,0,0,7342
90,90,0,0,0,7342
91,91,0,0,0,7342
92,92,0,0,0,7342
93,93,0,0,0,7342
94,94,0,0,0,7342
95,95,0,0,0,7342
96,96,0,0,0,7342
97,97,0,0,0,7342
98,98,0,0,0,7342
99,99,0,0,0,7342
100,100,0,0,0,7342
101,101,0,0,0,7342
102,102,0,0,0,7342
103,103,0,0,0,7342
104,104,0,0,0,7342
105,105,0,0,0,7342
106,106,0,0,0,7342
107,107,0,0,0,7342
108,108,0,0,0,7342
109,109,0,0,0,7342
110,110,0,0,0,7342
111,111,0,0,0,7342
112,112,0,0,0,7342
113,113,0,0,0,7342
114,114,0,0,0,7342
115,115,0,0,0,7342
116,116,0,0,0,7342
117,117,0,0,0,7342
118,118,0,0,0,7342
119,119,0,0,0,7342
120,120,0,0,0,7342
121,121,0,0,0,7342
122,122,0,0,0,7342
123,123,0,0,0,7342
124,124,0,0,0,7342
125,125,0,0,0,7342
126,126,0,0,0,7342
127,127,0,0,0,7342
128,128,0,0,0,7342
129,129,0,0,0,7342
130,130,0,0,0,7342
131,131,0,0,0,7342
132,132,0,0,0,7342
133,133,0,0,0,7342
134,134,0,0,0,7342
135,135,0,0,0,7342
136,136,0,0,0,7342
137,137,0,0,0,7342
138,138,0,0,0,7342
139,139,0,0,0,7342
140,140,0,0,0,7342
141,141,0,0,0,7342
142,142,0,0,0,7342
143,143,0,0,0,7342
144,144,0,0,0,7342
145,145,0,0,0,7342
146,146,0,0,0,7342
147,147,0,0,0,7342
148,148,0,0,0,7342
149,149,0,0,0,7342
150,150,0,0,0,7342
151,151,0,0,0,7342
152,152,0,0,0,7342
153,153,0,0,0,7342
154,154,0,0,0,7342
155,155,0,0,0,7342
156,156,0,0,0,7342
157,157,0,0,0,7342
158,158,0,0,0,7342
159,159,0,0,0,7342
160,160,0,0,0,7342
161,161,0,0,0,7342
162,162,0,0,0,7342
163,163,0,0,0,7342
164,164,0,0,0,7342
165,165,0,0,0,7342
166,166,0,0,0,7342
167,167,0,0,0,7342
168,168,0,0,0,7342
169,169,0,0,0,7342
170,170,0,0,0,7342
171,171,0,0,0,7342
172,172,0,0,0,7342
173,173,0,0,0,7342
174,174,0,0,0,7342
175,175,0,0,0,7342
176,176,0,0,0,7342
177,177,0,0,0,7342
178,178,0,0,0,7342
179,179,0,0,0,7342
180,180,0,0,0,7342
181,181,0,0,0,7342
182,182,0,0,0,7342
183,183,0,0,0,7342
184,184,0,0,0,7342
185,185,0,0,0,7342
186,186,0,0,0,7342
187,187,0,0,0,7342
188,188,0,0,0,7342
189,189,0,0,0,7342
190,190,0,0,0,7342
191,191,0,0,0,7342
192,192,0,0,0,7342
193,193,0,0,0,7342
194,194,0,0,0,7342
195,195,0,0,0,7342
196,196,0,0,0,7342
197,197,0,0,0,7342
198,198,0,0,0,7342
199,199,0,0,0,7342
200,200,0,0,0,7342
201,201,0,0,0,7342
202,202,0,0,0,7342
203,203,0,0,0,7342
204,204,0,0,0,7342
205,205,0,0,0,7342
206,206,0,0,0,7342
207,207,0,0,0,7342
208,208,0,0,0,7342
209,209,0,0,0,7342
210,210,0,0,0,7342
211,211,0,0,0,7342
212,212,0,0,0,7342
213,213,0,0,0,7342
214,214,0,0,0,7342
215,215,0,0,0,7342
216,216,0,0,0,7342
217,217,0,0,0,7342
218,218,0,0,0,7342
219,219,0,0,0,7342
220,220,0,0,0,7342
221,221,0,0,0,7342
222,222,0,0,0,7342
223,223,0,0,0,7342
224,224,0,0,0,7342
225,225,0,0,0,7342
226,226,0,1,0,7342
227,227,0,1,0,7342
228,228,0,0,0,7342
229,229,0,0,0,7342
230,230,0,0,0,7342
231,231,0,0,0,7342
232,232,0,0,0,7342
233,233,0,0,0,7342
234,234,0,0,0,7342
235,235,0,0,0,7342
236,236,0,0,0,7342
237,237,0,0,0,7342
238,238,0,0,0,7342
239,239,0,0,0,7342
240,240,0,0,0,7342
241,241,0,0,0,7342
242,242,0,0,0,7342
243,243,0,0,0,7342
