Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,0,0,0,12100
1,1,0,0,0,12100
2,2,0,0,0,12100
3,3,0,0,0,12100
4,4,0,0,0,12100
5,5,0,0,0,12100
6,6,0,0,0,12100
7,7,0,0,0,12100
8,8,0,0,0,12100
9,9,0,0,0,12100
10,10,0,0,0,12100
11,11,0,0,0,12100
12,12,0,0,0,12100
13,13,0,0,0,12100
14,14,0,0,0,12100
15,15,0,0,0,12100
16,16,0,0,0,12100
17,17,0,0,0,12100
18,18,0,0,0,12100
19,19,0,0,0,12100
20,20,0,0,0,12100
21,21,0,0,0,12100
22,22,0,0,0,12100
23,23,0,0,0,12100
24,24,0,0,0,12100
25,25,0,0,0,12100
26,26,0,0,0,12100
27,27,0,0,0,12100
28,28,0,0,0,12100
29,29,0,0,0,12100
30,30,0,0,0,12100
31,31,0,0,0,12100
32,32,0,0,0,12100
33,33,0,0,0,12100
34,34,0,0,0,12100
35,35,0,0,0,12100
36,36,0,0,0,12100
37,37,0,0,0,12100
38,38,0,0,0,12100
39,39,0,0,0,12100
40,40,0,0,0,12100
41,41,0,0,0,12100
42,42,0,0,0,12100
43,43,0,0,0,12100
44,44,0,0,0,12100
45,45,0,0,0,12100
46,46,0,0,0,12100
47,47,0,0,0,12100
48,48,0,0,0,12100
49,49,0,0,0,12100
50,50,0,0,0,12100
51,51,0,0,0,12100
52,52,0,0,0,12100
53,53,0,0,0,12100
54,54,0,0,0,12100
55,55,0,0,0,12100
56,56,0,0,0,12100
57,57,0,0,0,12100
58,58,0,0,0,12100
59,59,0,0,0,12100
60,60,0,0,0,12100
61,61,0,0,0,12100
62,62,0,0,0,12100
63,63,0,0,0,12100
64,64,0,0,0,12100
65,65,0,0,0,12100
66,66,0,0,0,12100
67,67,0,0,0,12100
68,68,0,0,0,12100
69,69,0,0,0,12100
70,70,0,0,0,12100
71,71,0,0,0,12100
72,72,0,0,0,12100
73,73,0,0,0,12100
74,74,0,0,0,12100
75,75,0,0,0,12100
76,76,0,0,0,12100
77,77,0,0,0,12100
78,78,0,0,0,12100
79,79,0,0,0,12100
80,80,0,0,0,12100
81,81,0,0,0,12100
82,82,0,0,0,12100
83,83,0,1,0,12100
84,84,0,0,0,12100
85,85,0,0,0,12100
86,86,0,0,0,12100
87,87,0,0,0,12100
88,88,0,0,0,12100
89,89,0,0,0,12100
90,90,0,0,0,12100
91,91,0,0,0,12100
92,92,0,0,0,12100
93,93,0,0,0,12100
94,94,0,0,0,12100
95,95,0,0,0,12100
96,96,0,0,0,12100
97,97,0,0,0,12100
98,98,0,0,0,12100
99,99,0,0,0,12100
100,100,0,0,0,12100
101,101,0,0,0,12100
