Sample in Buffer,Sample in Window,TRIGGER,pynq_bd_i/xadc_wiz_0_drdy_out,pynq_bd_i/dpp_counter_0_fifo_o[31:0],pynq_bd_i/dpp_counter_0_y[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED
0,0,0,0,0,647
1,1,0,0,0,647
2,2,0,0,0,647
3,3,0,0,0,647
4,4,0,0,0,647
5,5,0,0,0,647
6,6,0,0,0,647
7,7,0,0,0,647
8,8,0,0,0,647
9,9,0,0,0,647
10,10,0,0,0,647
11,11,0,0,0,647
12,12,0,0,0,647
13,13,0,0,0,647
14,14,0,0,0,647
15,15,0,0,0,647
16,16,0,0,0,647
17,17,0,0,0,647
18,18,0,0,0,647
19,19,0,0,0,647
20,20,0,0,0,647
21,21,0,0,0,647
22,22,0,0,0,647
23,23,0,0,0,647
24,24,0,0,0,647
25,25,0,0,0,647
26,26,0,0,0,647
27,27,0,0,0,647
28,28,0,0,0,647
29,29,0,0,0,647
30,30,0,0,0,647
31,31,0,0,0,647
32,32,0,0,0,647
33,33,0,0,0,647
34,34,0,0,0,647
35,35,0,0,0,647
36,36,0,0,0,647
37,37,0,0,0,647
38,38,0,0,0,647
39,39,0,0,0,647
40,40,0,0,0,647
41,41,0,0,0,647
42,42,0,0,0,647
43,43,0,0,0,647
44,44,0,0,0,647
45,45,0,0,0,647
46,46,0,0,0,647
47,47,0,0,0,647
48,48,0,0,0,647
49,49,0,0,0,647
50,50,0,0,0,647
51,51,0,0,0,647
52,52,0,0,0,647
53,53,0,0,0,647
54,54,0,0,0,647
55,55,0,0,0,647
56,56,0,0,0,647
57,57,0,0,0,647
58,58,0,0,0,647
59,59,0,0,0,647
60,60,0,0,0,647
61,61,0,0,0,647
62,62,0,0,0,647
63,63,0,0,0,647
64,64,0,0,0,647
65,65,0,0,0,647
66,66,0,0,0,647
67,67,0,0,0,647
68,68,0,0,0,647
69,69,0,0,0,647
70,70,0,0,0,647
71,71,0,0,0,647
72,72,0,0,0,647
73,73,0,0,0,647
74,74,0,0,0,647
75,75,0,0,0,647
76,76,0,0,0,647
77,77,0,0,0,647
78,78,0,0,0,647
79,79,0,0,0,647
80,80,0,0,0,647
81,81,0,0,0,647
82,82,0,0,0,647
83,83,0,1,0,647
